ID,Label,Headline,"Article Body (Snippet)"
F035,FAKE,"Scientists Discover Humans Have a 'Third Eye' Hidden in the Back of the Throat","An anatomical discovery, overlooked for centuries, confirms that a rudimentary third eye, sensitive to magnetic fields, is located near the tonsils. It can be activated by humming."
F036,FAKE,"New Device Promises to Translate the Thoughts of Houseplants into English Text","A crowd-funded gadget claims to decode the bio-electrical signals of ferns and ficuses, allowing owners to finally understand their plants' existential complaints and watering needs."
F037,FAKE,"WATCH NOW: CEO of Major Corporation Seen Fleeing Board Meeting Dressed as a Giant Badger","Reporters captured footage of the company's chief executive attempting to escape a hostile takeover meeting while wearing an elaborate, life-sized woodland creature costume."
F038,FAKE,"Astrologer Predicts Massive Asteroid Will Crash into Earth on Tuesday, But Only in Utah","A self-proclaimed cosmic prophet calculated that a civilization-ending space rock will strike the United States, but due to a 'gravitational anomaly,' only the state of Utah will be affected."
F039,FAKE,"Local City to Replace All Speed Bumps with Miniature Trampolines for 'Joyful Commuting'","In a bizarre infrastructure move, the city council voted to install small, vehicle-friendly trampolines on residential roads to encourage drivers to be happier and more bouncy."
F040,FAKE,"Global Warming Caused By Too Many People Leaving Their Refrigerators Open, Says Study","An internal report from a climate skeptic group claims that household appliance habits, not industry, are the primary driver of rising temperatures. Close your fridge, save the world!"
F041,FAKE,"Secret Recipe for Eternal Youth Found Engraved on Back of a Supermarket Shopping Cart","A woman discovered ancient symbols beneath the rusty handle of her shopping cart, which, when translated, proved to be a detailed, foolproof recipe for reversing all signs of aging."
F042,FAKE,"EXPOSED: Fast Food Chain Uses Advanced Robotics to Replace All Human Customers","An alleged former employee claims the popular burger joint is piloting a scheme where sophisticated androids are programmed to order and eat food, creating the illusion of a busy restaurant."
F043,FAKE,"DRAMATIC FOOTAGE: Pylons on Power Grid Are Actually Giant, Sleeping Robots","A conspiracy theorist posted video showing a slight shimmer around high-tension power lines, claiming the tall structures are not electrical supports but colossal, hibernating machines."
F044,FAKE,"New Dietary Fad: Eating Only Blue-Colored Foods Guarantees Success and Wealth","The 'Blue Plate Diet' promises not just weight loss, but incredible financial success and a charismatic personality, simply by restricting your intake to artificially blue edibles."
F045,FAKE,"The Earth Is Flat, And It's Secretly Being Protected By A Wall of Invisible Space Turtles","A new theory from a fringe group suggests the planet is a disc, and a fleet of colossal, invisible space turtles is maintaining its stability and preventing us from falling off the edge."
F046,FAKE,"Report: Listening to Country Music Increases Your Credit Score By 100 Points","An unverified, completely bizarre financial study claims that regular listening to the genre of country music has a direct, positive correlation with improving an individual's financial solvency."
F047,FAKE,"Scientists Find Evidence That Dreams Are Actually Glimpses Into Alternate, Better Realities","A sleep research center announced that the strange scenarios in human dreams are not random, but brief, psychic windows into successful, happier versions of our current life."
F048,FAKE,"Massive Government Satellite Falls Out of Orbit, Lands Perfectly on Top of a Wedding Cake","A disastrous launch failure resulted in an advanced, multi-billion-dollar military satellite crashing down, miraculously landing on a wedding cake during an outdoor reception, destroying only the frosting."
F049,FAKE,"Local Man Invents a Watch That Allows Him to Slow Down Time When He’s Running Late","A self-taught inventor developed a mechanical wristwatch that, when activated, creates a localized temporal distortion, giving him an extra five minutes to make his bus."
F050,FAKE,"BANNED! Scientists Say Chewing Gum Is Actually Made Out of Ground-Up Old Car Tires","An 'independent' lab report claims the main ingredient in all popular chewing gum brands is recycled tire rubber, leading to immediate demands for a national ban on the sticky substance."
F051,FAKE,"NEW LAW: Citizens Must Use Only Nicknames for Family Members Starting Next Month","A bizarre, last-minute bill passed by the state legislature mandates that all citizens refer to their immediate family using only cute nicknames (e.g., 'Sweetie-Pie,' 'Buddy-Boo')."
F052,FAKE,"Meteorite Shower Rains Down Tiny, Perfectly Formed Miniature Clay Gnomes in Texas","A massive celestial event deposited thousands of small, detailed, ceramic-like garden gnomes across a wide area of rural Texas. The gnomes appear to be holding tiny, functional pickaxes."
F053,FAKE,"Secret Government Program Found to be Training Squirrels to Steal Loose Change from Pockets","A highly classified memo confirms that the Department of Treasury is funding a shadowy project using genetically enhanced squirrels to discreetly pilfer pocket change to fund black budget operations."
F054,FAKE,"Health Officials Warn: Binge-Watching Television Can Cause Spontaneous Combustion","A shocking, non-peer-reviewed report suggests that consuming more than 10 consecutive hours of television creates a chemical imbalance that can lead to a sudden, fiery demise."
F055,FAKE,"Local Coffee Shop Starts Charging Customers Based on Their Level of Happiness","A controversial new payment model requires patrons to rate their mood on a scale of 1-10; the happier they are, the more they pay for their latte, based on the 'premium experience.'"
F056,FAKE,"EXPOSED: Popular Cereal Contains Magnetic Metal Flakes That Stick to Your Refrigerator","A viral video shows a common breakfast food being pulled toward a magnet, leading to widespread fear that the metal particles are accumulating inside the bodies of consumers."
F057,FAKE,"The Pyramids Were Built by Time-Traveling Humans From the Year 2150 Seeking Ancient Wi-Fi","A discredited historian claims the Egyptian monuments were constructed by future humans who traveled back in time to harness a powerful, long-lost form of internet connectivity."
F058,FAKE,"UFO Spotted Hovering Over Presidential Motorcade, Delivering a Pizza Box","Secret service agents confirmed that an unidentified flying object briefly paused over the President's convoy before dropping a plain white box that was later confirmed to contain an extra-large pepperoni pizza."
F059,FAKE,"BREAKING: New Traffic Law Requires Drivers to High-Five Police Officers During Routine Stops","In an attempt to promote community relations, a new local ordinance mandates a friendly, open-palmed slap between the driver and the officer before any citation can be issued."
F060,FAKE,"Ancient Viking Ship Found Buried Under Walmart Parking Lot, Still Full of Treasure","Construction crews digging a foundation for a new retail expansion uncovered a fully intact 10th-century longship filled with gold coins and battle axes. Walmart claims the site is still intended for pet supplies."
F061,FAKE,"MUST SEE: Local Man Can Predict the Weather by Tasting Different Types of Road Salt","An eccentric individual claims his highly sensitive palate allows him to accurately forecast temperature, precipitation, and wind direction by sampling the sodium chloride used to de-ice roads."
F062,FAKE,"Study: Using All Capital Letters Online Causes Your Pet Fish to Develop Anxiety","New research from a dubious behavioral institute links aggressive keyboard habits, specifically the use of 'caps lock,' to elevated stress levels and fin-nipping in goldfish."
F063,FAKE,"Drones Are Secretly Being Used to Collect DNA Samples from People’s Laundry Lines","A conspiracy alleges that small, covert surveillance drones are flying through backyards, using miniature vacuums to sample human genetic material from drying clothes."
F064,FAKE,"Scientists Successfully Teach a Houseplant to Play the Trombone Using Electrodes","An ambitious botanical experiment succeeded in wiring a large potted plant to a musical instrument, allowing it to produce simple melodies through bio-feedback."
F065,FAKE,"New 'Gravity Fee' Imposed on All Citizens Weighing Over 200 Pounds","A controversial new state measure proposes to tax individuals based on their body weight, claiming they are putting 'undue strain' on public sidewalks and roads."
F066,FAKE,"All Squirrels in the State Have Developed the Ability to Understand and Use Simple Tools","The state's entire population of squirrels is now reportedly using tiny hammers, wrenches, and screwdrivers, causing widespread chaos and sophisticated theft of bird feeders."
F067,FAKE,"EXPLOSIVE: Popular Children's Cartoon Character Is Actually a Deep Cover International Spy","A leaked animation cel reveals that the beloved, brightly colored character is a decorated agent of a foreign intelligence agency, using the show as a complex encryption method."
F068,FAKE,"Eating Raw Garlic Before Bed Grants the Consumer the Ability to Fly, But Only for 5 Minutes","An unsubstantiated health blog claims that the sulfur compounds in raw garlic trigger a temporary levitation effect, followed by extreme exhaustion and bad breath."
F069,FAKE,"Local Town Secretly Replaced All Its Roads with Giant Trampolines for Energy Saving","The small community transitioned its entire street network to high-tension trampolines, claiming the bouncing cars generate kinetic energy that is captured and fed back into the power grid."
F070,FAKE,"WARNING: That New 'Smart' Refrigerator Is Secretly Rating Your Cooking Skills and Sharing It Online","The AI in the newest kitchen appliance models is apparently monitoring meal quality and posting anonymous, brutal reviews of your culinary attempts to a hidden forum."
F071,FAKE,"BREAKING: Statue in City Park Begins Crying Tears of Pure, High-Fructose Corn Syrup","A centuries-old bronze statue has started weeping a stream of thick, sugary liquid, prompting both wonder and concern from local health and confectionery officials."
F072,FAKE,"New Internet Browser Update Will Only Load Websites That Agree With Your Political Opinions","A major web company released a beta browser that uses AI to filter out all opposing viewpoints, creating a perfectly tailored, argument-free online experience."
F073,FAKE,"Study Suggests Talking to Your Car Can Increase Its Gas Mileage By 50%","Researchers found a placebo effect where drivers who regularly compliment their vehicle's performance see a dramatic increase in fuel efficiency. The car needs positive affirmation!"
F074,FAKE,"Ancient Map Found Hidden in Box of Cereal Points to Location of Lost Atlantis in Local Pond","A child found a tattered piece of parchment in his breakfast box that, according to a local amateur historian, is the key to finding the mythical sunken city in a nearby retention pond."
F075,FAKE,"All Major Airlines to Charge Extra 'Baggage Fee' for Carrying Unnecessary Emotional Weight","Starting next month, check-in kiosks will include a mandatory psychological assessment; passengers deemed too emotionally troubled will incur a surcharge."
F076,FAKE,"Local Man Claims to Have Met His Future Self Who Only Warned Him Not to Buy Expired Milk","A man claims to have had a profound temporal encounter with his aged self, who traveled back in time just to prevent him from making a specific, non-critical grocery mistake."
F077,FAKE,"The Moon Landing Was Fake, And The Astronauts Were Paid In Lifetime Supplies of Mayonnaise","A shocking exposé claims the entire space program was a hoax, and the four astronauts involved were compensated with unlimited jars of premium, brand-name mayonnaise."
F078,FAKE,"Health Minister Resigns After Photo Leaks Show Them Eating a Bag of Chips While Jogging","A high-ranking official abruptly stepped down after a paparazzi photo showed them engaging in a bizarre combination of cardiovascular exercise and simultaneous junk food consumption."
F079,FAKE,"EXCLUSIVE: New 'Silent Alarm' Phone Feature Actually Summons a Flock of Seagulls to Your Location","The latest phone update has a hidden function where tapping the screen three times sends out a high-frequency call that attracts every seagull within a two-mile radius."
F080,FAKE,"NASA Planning to Build a Theme Park on the Surface of the Moon By 2030","Leaked documents outline a multi-billion dollar project to construct an amusement park on the lunar surface, featuring low-gravity roller coasters and moon-dust ice cream."
F081,FAKE,"Experts Warn That Eating Pizza Crusts Increases Risk of Being Kidnapped by Goblins","A sensational, unfounded warning from a 'mythological studies' group advises against eating the outer edge of pizza, claiming it acts as a magical lure for small, malevolent creatures."
F082,FAKE,"All Government Meetings Now Require Attendees to Wear Clown Noses for 'Transparency'","A new federal mandate requires all elected officials to wear brightly colored, squeaky clown noses during televised debates and press conferences to signal honesty."
F083,FAKE,"BREAKING: Earth’s Magnetic Poles Have Flipped, and Now North Is South, But Nobody Noticed","An alleged anonymous geologist claims the planet's magnetic field reversed polarity three weeks ago, but the change was so sudden and complete that all compasses still point 'correctly'."
F084,FAKE,"Local Man Invents a Machine That Can Turn Canceled Checks into Usable Gold Coins","An amateur inventor claims his device, powered by static electricity and disappointment, can smelt old bank documents into valuable currency. The gold smells faintly of ink."
F085,FAKE,"Report: The Government Is Secretly Adding Laughter Track to All Live News Broadcasts","A former technician claims a covert operation adds canned laughter to serious news programs to subtly undermine viewer comprehension and critical thought."
F086,FAKE,"New Study Finds That Wearing Socks with Sandals is Actually the Key to Superior Athletic Performance","Contrary to popular belief, a bizarre fashion study claims that the combination of open-toed shoes and socks creates an aerodynamic advantage for runners."
F087,FAKE,"WARNING: All Store Mannequins Are Now Equipped with Facial Recognition Technology","Retail displays are reportedly using sophisticated AI to identify customers, analyze their reactions, and report their 'shopping attitude' to an undisclosed corporate database."
F088,FAKE,"World's Oceans Are Gradually Being Replaced with Sparkling Water Due to Undiscovered Mineral Vein","Oceanographers are baffled as seawater is inexplicably transforming into carbonated, bubbly water, signaling a massive, unseen geological event."
F089,FAKE,"Local Pet Store Now Only Accepts Payment in Unused Gift Cards for Different Stores","The bizarre payment policy, implemented by a new manager, requires customers to pay for hamsters and birdseed using gift cards from coffee chains and bookshops."
F090,FAKE,"Giant Holographic Image of Historical Figure Appears Over City, Demanding Everyone Take a Nap","Citizens were bewildered when a massive, ghostly projection of an ancient emperor appeared in the sky, using a booming voice to command mandatory, immediate rest."
F091,FAKE,"The Entire Internet Was Accidentally Deleted for Three Seconds Last Night, Causing Global Amnesia","A momentary deletion of all online data led to a collective three-second gap in human memory, causing brief, worldwide confusion about the purpose of forks and shoes."
F092,FAKE,"Study: People Who Constantly Post Food Photos Are 90% More Likely to Be Aliens","A questionable psychological profile links the habit of photographing meals before eating them to a high probability of being an extraterrestrial reconnaissance scout."
F093,FAKE,"BREAKING: Dogs Can Now File Tax Returns, Thanks to New Tax Loophole for Pets","A controversial new interpretation of tax law allows pet owners to list their dogs as dependents who can claim certain tax credits, provided they can sign the forms with a paw print."
F094,FAKE,"Global Currency Collapses After Tiny Bird Steals All the Federal Reserve's Gold Reserves","A small, highly intelligent species of tropical bird was caught on security camera systematically flying out of the vault with tiny specks of gold, one by one, over a period of three months."
F095,FAKE,"New School Curriculum Requires All Students to Learn the Art of Mime and Juggling","The local education board mandated a shift in focus from traditional subjects to performing arts, arguing that advanced mime skills are critical for 21st-century communication."
F096,FAKE,"EXPOSED: Fast Food Milkshakes Are Secretly Being Made with Snow Collected from the Himalayas","A shocking undercover report claims the thick texture of the chain's famous milkshakes is due to a highly illegal and costly supply chain of frozen Himalayan snow."
F097,FAKE,"Astrophysicists Confirm That Gravity Is Just a Suggestion, Not a Law","A revolutionary paper suggests that the force of gravity is not an absolute law of nature, but a highly persuasive, long-running natural phenomenon that can be resisted with enough focus."
F098,FAKE,"Tourist Stumbles Upon Secret Door in Eiffel Tower That Leads to a Hidden Underground Sushi Restaurant","A tourist reported finding a disguised service door that led to a sophisticated, exclusive Japanese restaurant operating entirely beneath the foundation of the famous landmark."
F099,FAKE,"WARNING: Talking to Your Reflection for Too Long Will Cause It to Swap Places With You","A supernatural warning advises against prolonged mirror gazing, claiming that after exactly 10 minutes, the reflection gains sentience and pulls the observer into the looking glass."
F100,FAKE,"New Diet Claims Eating Nothing But Mustard Can Lower Cholesterol and Cure All Ailments","A self-proclaimed 'mustard guru' promotes a radical regimen where the only food consumed is yellow mustard, promising miraculous health benefits and surprisingly pungent breath."
